country;capital;continent
Австрия;Вена;Europe
Албания;Тирана;Europe
Андорра;Андорра-ла-Велья;Europe
Беларусь;Минск;Europe
Бельгия;Брюссель;Europe
Болгария;София;Europe
Босния и Герцеговина;Сараево;Europe
Ватикан;Ватикан;Europe
Великобритания;Лондон;Europe
Венгрия;Будапешт;Europe
Германия;Берлин;Europe
Греция;Афины;Europe
Дания;Копенгаген;Europe
Ирландия;Дублин;Europe
Исландия;Рейкьявик;Europe
Испания;Мадрид;Europe
Италия;Рим;Europe
Кипр;Никосия;Europe
Латвия;Рига;Europe
Литва;Вильнюс;Europe
Лихтенштейн;Вадуц;Europe
Люксембург;Люксембург;Europe
Мальта;Валлетта;Europe
Молдавия;Кишинёв;Europe
Монако;Монако;Europe
Нидерланды;Амстердам;Europe
Норвегия;Осло;Europe
Польша;Варшава;Europe
Португалия;Лиссабон;Europe
Россия;Москва;Europe
Румыния;Бухарест;Europe
Сан-Марино;Сан-Марино;Europe
Северная Македония;Скопье;Europe
Сербия;Белград;Europe
Словакия;Братислава;Europe
Словения;Любляна;Europe
Украина;Киев;Europe
Финляндия;Хельсинки;Europe
Франция;Париж;Europe
Хорватия;Загреб;Europe
Черногория;Подгорица;Europe
Чехия;Прага;Europe
Швейцария;Берн;Europe
Швеция;Стокгольм;Europe
Эстония;Таллин;Europe
Азербайджан;Баку;Asia
Армения;Ереван;Asia
Афганистан;Кабул;Asia
Бангладеш;Дакка;Asia
Бахрейн;Манама;Asia
Бруней;Бандар-Сери-Бегаван;Asia
Бутан;Тхимпху;Asia
Восточный Тимор;Дили;Asia
Вьетнам;Ханой;Asia
Грузия;Тбилиси;Asia
Израиль;Иерусалим;Asia
Индия;Нью-Дели;Asia
Индонезия;Джакарта;Asia
Иордания;Амман;Asia
Ирак;Багдад;Asia
Иран;Тегеран;Asia
Йемен;Сана;Asia
Казахстан;Нур-Султан;Asia
Камбоджа;Пномпень;Asia
Катар;Доха;Asia
Киргизия;Бишкек;Asia
Китай;Пекин;Asia
КНДР;Пхеньян;Asia
Кувейт;Эль-Кувейт;Asia
Лаос;Вьентьян;Asia
Ливан;Бейрут;Asia
Малайзия;Куала-Лумпур;Asia
Мальдивы;Мале;Asia
Монголия;Улан-Батор;Asia
Мьянма;Нейпьидо;Asia
Непал;Катманду;Asia
ОАЭ;Абу-Даби;Asia
